,tweet_id,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,date,time,dog_stage,jpg_url,breed,retweet_count,favorite_count,hour,time_of_day
71,876120275196170240,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scritches. / much excite ",nan,nan,,https://twitter.com/dog_rates/status/876120275196170240/photo/1,13,10,Venti,2017-06-17 00:00:00,1900-01-01 16:52:05,puppo,https://pbs.twimg.com/media/DCiavj_UwAAcXep.jpg,Bernese_mountain_dog,4903,28490,16,Afternoon
76,874296783580663808,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Jed. He may be the fanciest pupper in the game right now. Knows it too. / would sign modeling contract ,nan,nan,,https://twitter.com/dog_rates/status/874296783580663808/photo/1,13,10,Jed,2017-06-12 00:00:00,1900-01-01 16:06:11,pupper,https://pbs.twimg.com/media/DCIgSR0XgAANEOY.jpg,cocker_spaniel,4308,26651,16,Afternoon
78,874012996292530176,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. / #PrideMonth puppo ",nan,nan,,"https://twitter.com/dog_rates/status/874012996292530176/photo/1,https://twitter.com/dog_rates/status/874012996292530176/photo/1",13,10,Sebastian,2017-06-11 00:00:00,1900-01-01 21:18:31,puppo,https://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg,Cardigan,11007,35501,21,Evening
80,873213775632977920,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Sierra. She's one precious pupper. Absolute /. Been in and out of ICU her whole life. Help Sierra below

 ",nan,nan,,"https://www.gofundme.com/help-my-baby-sierra-get-better,https://twitter.com/dog_rates/status/873213775632977920/photo/1,https://twitter.com/dog_rates/status/873213775632977920/photo/1",12,10,Sierra,2017-06-09 00:00:00,1900-01-01 16:22:42,pupper,https://pbs.twimg.com/media/DB5HTBGXUAE0TiK.jpg,vizsla,1667,7467,16,Afternoon
81,872967104147763200,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. / good to go doggo ,nan,nan,,"https://twitter.com/dog_rates/status/872967104147763200/photo/1,https://twitter.com/dog_rates/status/872967104147763200/photo/1",12,10,None,2017-06-09 00:00:00,1900-01-01 00:02:31,doggo,https://pbs.twimg.com/media/DB1m871XUAAw5vZ.jpg,Labrador_retriever,5669,28031,0,Night
87,871879754684805121,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner. / ,nan,nan,,"https://twitter.com/dog_rates/status/871879754684805121/photo/1,https://twitter.com/dog_rates/status/871879754684805121/photo/1",13,10,Lassie,2017-06-06 00:00:00,1900-01-01 00:01:46,puppo,https://pbs.twimg.com/media/DBmKAmBXUAE-pQ-.jpg,Shetland_sheepdog,11918,39090,0,Night
88,871762521631449091,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. / ,nan,nan,,"https://twitter.com/dog_rates/status/871762521631449091/photo/1,https://twitter.com/dog_rates/status/871762521631449091/photo/1,https://twitter.com/dog_rates/status/871762521631449091/photo/1",12,10,Rover,2017-06-05 00:00:00,1900-01-01 16:15:56,pupper,https://pbs.twimg.com/media/DBkfY58XcAEdzZy.jpg,Labrador_retriever,3678,20787,16,Afternoon
89,871515927908634625,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. / great doggo ,nan,nan,,"https://twitter.com/dog_rates/status/871515927908634625/photo/1,https://twitter.com/dog_rates/status/871515927908634625/photo/1",12,10,Napolean,2017-06-04 00:00:00,1900-01-01 23:56:03,doggo,https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg,komondor,3628,20730,23,Night
98,869596645499047938,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. / would throw cap for ,nan,nan,,"https://twitter.com/dog_rates/status/869596645499047938/photo/1,https://twitter.com/dog_rates/status/869596645499047938/photo/1",12,10,Scout,2017-05-30 00:00:00,1900-01-01 16:49:31,doggo,https://pbs.twimg.com/media/DBFtiYqWAAAsjj1.jpg,Chihuahua,3327,16476,16,Afternoon
105,867421006826221569,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Shikha. She just watched you drop a skittle on the ground and still eat it. Could not be less impressed. / superior puppo ,nan,nan,,https://twitter.com/dog_rates/status/867421006826221569/photo/1,12,10,Shikha,2017-05-24 00:00:00,1900-01-01 16:44:18,puppo,https://pbs.twimg.com/media/DAmyy8FXYAIH8Ty.jpg,Eskimo_dog,2697,16755,16,Afternoon
107,866686824827068416,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Lili. She can't believe you betrayed her with bath time. Never looking you in the eye again. / would puppologize profusely ,nan,nan,,"https://twitter.com/dog_rates/status/866686824827068416/photo/1,https://twitter.com/dog_rates/status/866686824827068416/photo/1",12,10,Lili,2017-05-22 00:00:00,1900-01-01 16:06:55,puppo,https://pbs.twimg.com/media/DAcXEWuXkAIBDGJ.jpg,flat-coated_retriever,3727,20070,16,Afternoon
108,866450705531457537,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Jamesy. He gives a kiss to every other pupper he sees on his walk. / such passion, much tender ",nan,nan,,"https://twitter.com/dog_rates/status/866450705531457537/photo/1,https://twitter.com/dog_rates/status/866450705531457537/photo/1",13,10,Jamesy,2017-05-22 00:00:00,1900-01-01 00:28:40,pupper,https://pbs.twimg.com/media/DAZAUfBXcAAG_Nn.jpg,French_bulldog,32883,106827,0,Night
134,859607811541651456,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sorry for the lack of posts today. I came home from school and had to spend quality time with my puppo. Her name is Zoey and she's / ,nan,nan,,https://twitter.com/dog_rates/status/859607811541651456/photo/1,13,10,None,2017-05-03 00:00:00,1900-01-01 03:17:27,puppo,https://pbs.twimg.com/media/C-3wvtxXcAUTuBE.jpg,golden_retriever,1704,19476,3,Night
137,858843525470990336,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I have stumbled puppon a doggo painting party. They're looking to be the next Pupcasso or Puppollock. All / would put it on the fridge ,nan,nan,,https://twitter.com/dog_rates/status/858843525470990336/photo/1,13,10,None,2017-05-01 00:00:00,1900-01-01 00:40:27,puppo,https://pbs.twimg.com/media/C-s5oYZXkAAMHHq.jpg,golden_retriever,3771,16304,0,Night
148,855851453814013952,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a puppo participating in the #ScienceMarch. Cleverly disguising her own doggo agenda. / would keep the planet habitable for ,nan,nan,,https://twitter.com/dog_rates/status/855851453814013952/photo/1,13,10,None,2017-04-22 00:00:00,1900-01-01 18:31:02,puppo,https://pbs.twimg.com/media/C-CYWrvWAAU8AXH.jpg,flat-coated_retriever,19196,47844,18,Evening
153,854120357044912130,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sometimes you guys remind me just how impactful a pupper can be. Cooper will be remembered as a good boy by so many. / rest easy friend ,nan,nan,,"https://twitter.com/dog_rates/status/854120357044912130/photo/1,https://twitter.com/dog_rates/status/854120357044912130/photo/1,https://twitter.com/dog_rates/status/854120357044912130/photo/1,https://twitter.com/dog_rates/status/854120357044912130/photo/1",14,10,None,2017-04-17 00:00:00,1900-01-01 23:52:16,pupper,https://pbs.twimg.com/media/C9px7jyVwAAnmwN.jpg,black-and-tan_coonhound,8285,33911,23,Night
154,854010172552949760,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","At first I thought this was a shy doggo, but it's actually a Rare Canadian Floofer Owl. Amateurs would confuse the two. / only send dogs ",nan,nan,,"https://twitter.com/dog_rates/status/854010172552949760/photo/1,https://twitter.com/dog_rates/status/854010172552949760/photo/1",11,10,None,2017-04-17 00:00:00,1900-01-01 16:34:26,doggo,https://pbs.twimg.com/media/C9oNt91WAAAFSLS.jpg,English_springer,3433,17169,16,Afternoon
170,850019790995546112,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Say hello to Boomer. He's a sandy pupper. Having a h*ckin blast. / would pet passionately ,nan,nan,,"https://twitter.com/dog_rates/status/850019790995546112/photo/1,https://twitter.com/dog_rates/status/850019790995546112/photo/1,https://twitter.com/dog_rates/status/850019790995546112/photo/1",12,10,Boomer,2017-04-06 00:00:00,1900-01-01 16:18:05,pupper,https://pbs.twimg.com/media/C8vgfTsXgAA561h.jpg,Shetland_sheepdog,5459,21944,16,Afternoon
185,846514051647705089,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Barney. He's an elder doggo. Hitches a ride when he gets tired. Waves goodbye before he leaves. / please come back soon ,nan,nan,,"https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1,https://twitter.com/dog_rates/status/846514051647705089/photo/1",13,10,Barney,2017-03-28 00:00:00,1900-01-01 00:07:32,doggo,https://pbs.twimg.com/media/C79sB4xXwAEvwKY.jpg,golden_retriever,13076,48410,0,Night
190,845397057150107648,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Say hello to Mimosa. She's an emotional support doggo who helps her owner with PTSD. /, but she needs your help

 ",nan,nan,,"https://www.gofundme.com/help-save-a-pup,https://twitter.com/dog_rates/status/845397057150107648/photo/1,https://twitter.com/dog_rates/status/845397057150107648/photo/1",13,10,Mimosa,2017-03-24 00:00:00,1900-01-01 22:08:59,doggo,https://pbs.twimg.com/media/C7t0IzLWkAINoft.jpg,Dandie_Dinmont,2072,8241,22,Night
191,845306882940190720,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Pickles. She's a silly pupper. Thinks she's a dish. / would dry ,nan,nan,,https://twitter.com/dog_rates/status/845306882940190720/photo/1,12,10,Pickles,2017-03-24 00:00:00,1900-01-01 16:10:40,pupper,https://pbs.twimg.com/media/C7siH5DXkAACnDT.jpg,Irish_water_spaniel,6039,25225,16,Afternoon
206,841439858740625411,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have some incredible doggos for #KVeteransDay. All brave as h*ck. Salute your dog in solidarity. / for all ,nan,nan,,"https://twitter.com/dog_rates/status/841439858740625411/photo/1,https://twitter.com/dog_rates/status/841439858740625411/photo/1,https://twitter.com/dog_rates/status/841439858740625411/photo/1,https://twitter.com/dog_rates/status/841439858740625411/photo/1",14,10,None,2017-03-14 00:00:00,1900-01-01 00:04:30,doggo,https://pbs.twimg.com/media/C61lFFiWoAAJdiL.jpg,military_uniform,4168,13755,0,Night
220,837820167694528512,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Here's a pupper before and after being asked ""who's a good girl?"" Unsure as h*ck. / hint hint it's you ",nan,nan,,"https://twitter.com/dog_rates/status/837820167694528512/photo/1,https://twitter.com/dog_rates/status/837820167694528512/photo/1",12,10,None,2017-03-04 00:00:00,1900-01-01 00:21:08,pupper,https://pbs.twimg.com/media/C6CI_jbVAAA3-a1.jpg,golden_retriever,8952,37277,0,Night
223,837366284874571778,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Lucy. She has a portrait of herself on her ear. Excellent for identification pupposes. / innovative af ,nan,nan,,https://twitter.com/dog_rates/status/837366284874571778/photo/1,13,10,Lucy,2017-03-02 00:00:00,1900-01-01 18:17:34,puppo,https://pbs.twimg.com/media/C57sMJwXMAASBSx.jpg,American_Staffordshire_terrier,6005,23074,18,Evening
224,837110210464448512,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Clark. He passed pupper training today. Round of appaws for Clark. / ,nan,nan,,https://twitter.com/dog_rates/status/837110210464448512/photo/1,13,10,Clark,2017-03-02 00:00:00,1900-01-01 01:20:01,pupper,https://pbs.twimg.com/media/C54DS1kXQAEU5pS.jpg,Siberian_husky,2731,17480,1,Night
226,836753516572119041,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. / ,nan,nan,,https://twitter.com/dog_rates/status/836753516572119041/photo/1,12,10,Meera,2017-03-01 00:00:00,1900-01-01 01:42:39,doggo,https://pbs.twimg.com/media/C5y-4VwWcAIcaoj.jpg,mortarboard,5237,21029,1,Night
228,836380477523124226,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Ava. She just blasted off. Streamline af. Aerodynamic as h*ck. One small step for pupper, one giant leap for pupkind. / ",nan,nan,,https://twitter.com/dog_rates/status/836380477523124226/photo/1,12,10,Ava,2017-02-28 00:00:00,1900-01-01 01:00:19,pupper,https://pbs.twimg.com/media/C5trm6iWgAQ22Hw.jpg,wooden_spoon,3337,16037,1,Night
238,834574053763584002,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a doggo fully pupared for a shower. H*ckin exquisite balance. Sneaky tongue slip too. / ,nan,nan,,https://twitter.com/dog_rates/status/834574053763584002/photo/1,13,10,None,2017-02-23 00:00:00,1900-01-01 01:22:14,doggo,https://pbs.twimg.com/media/C5UAqgyXAAAbMWH.jpg,toilet_tissue,2882,14993,1,Night
247,833124694597443584,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Gidget. She's a spy pupper. Stealthy as h*ck. Must've slipped pup and got caught. / would forgive then pet ,nan,nan,,"https://twitter.com/dog_rates/status/833124694597443584/photo/1,https://twitter.com/dog_rates/status/833124694597443584/photo/1,https://twitter.com/dog_rates/status/833124694597443584/photo/1",12,10,Gidget,2017-02-19 00:00:00,1900-01-01 01:23:00,pupper,https://pbs.twimg.com/media/C4_ad1IUoAEspsk.jpg,Cardigan,5513,22133,1,Night
248,832998151111966721,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. / ",nan,nan,,"https://twitter.com/dog_rates/status/832998151111966721/photo/1,https://twitter.com/dog_rates/status/832998151111966721/photo/1",13,10,Rhino,2017-02-18 00:00:00,1900-01-01 17:00:10,doggo,https://pbs.twimg.com/media/C49nZavUYAEJjGw.jpg,boxer,2522,14549,17,Afternoon
253,832273440279240704,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Say hello to Smiley. He's a blind therapy doggo having a h*ckin blast high steppin around in the snow. / would follow anywhere ,nan,nan,,https://twitter.com/dog_rates/status/832273440279240704/video/1,14,10,Smiley,2017-02-16 00:00:00,1900-01-01 17:00:25,doggo,https://pbs.twimg.com/ext_tw_video_thumb/832273373149413377/pu/img/qOqxM0b48fEarmq6.jpg,Pembroke,2673,12385,17,Afternoon
254,832032802820481025,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. /

 ",nan,nan,,"https://www.petfinder.com/petdetail/34918210,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1,https://twitter.com/dog_rates/status/832032802820481025/photo/1",12,10,Miguel,2017-02-16 00:00:00,1900-01-01 01:04:13,doggo,https://pbs.twimg.com/media/C4v5a4UWcAIRygc.jpg,whippet,4746,13887,1,Night
255,831939777352105988,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Emanuel. He's a h*ckin rare doggo. Dwells in a semi-urban environment. Round features make him extra collectible. / would so pet ,nan,nan,,https://twitter.com/dog_rates/status/831939777352105988/photo/1,12,10,Emanuel,2017-02-15 00:00:00,1900-01-01 18:54:34,doggo,https://pbs.twimg.com/media/C4uk0EWWQAAaZm1.jpg,Pomeranian,7031,26404,18,Evening
260,831322785565769729,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. / would hug softly ,nan,nan,,https://twitter.com/dog_rates/status/831322785565769729/photo/1,12,10,Pete,2017-02-14 00:00:00,1900-01-01 02:02:51,doggo,https://pbs.twimg.com/media/C4lzqQ4UEAApzU0.jpg,Old_English_sheepdog,1744,10042,2,Night
261,831315979191906304,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",I couldn't make it to the #WKCDogShow BUT I have people there on the ground relaying me the finest pupper pics possible. / for all ,nan,nan,,"https://twitter.com/dog_rates/status/831315979191906304/photo/1,https://twitter.com/dog_rates/status/831315979191906304/photo/1,https://twitter.com/dog_rates/status/831315979191906304/photo/1,https://twitter.com/dog_rates/status/831315979191906304/photo/1",13,10,None,2017-02-14 00:00:00,1900-01-01 01:35:49,pupper,https://pbs.twimg.com/media/C4lst0bXAAE6MP8.jpg,briard,1264,7117,1,Night
269,829449946868879360,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a stressed doggo. Had a long day. Many things on her mind. The hat communicates these feelings exquisitely. / ,nan,nan,,https://twitter.com/dog_rates/status/829449946868879360/photo/1,11,10,None,2017-02-08 00:00:00,1900-01-01 22:00:52,doggo,https://pbs.twimg.com/media/C4LMUf8WYAkWz4I.jpg,Labrador_retriever,2329,11519,22,Night
270,829374341691346946,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Astrid. She's a guide doggo in training. / would follow anywhere ,nan,nan,,"https://twitter.com/dog_rates/status/829374341691346946/photo/1,https://twitter.com/dog_rates/status/829374341691346946/photo/1",13,10,Astrid,2017-02-08 00:00:00,1900-01-01 17:00:26,doggo,https://pbs.twimg.com/media/C4KHj-nWQAA3poV.jpg,Staffordshire_bullterrier,10706,38074,17,Afternoon
278,828381636999917570,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Doobert. He's a deaf doggo. Didn't stop him on the field tho. Absolute legend today. / would pat head approvingly ,nan,nan,,https://twitter.com/dog_rates/status/828381636999917570/photo/1,14,10,Doobert,2017-02-05 00:00:00,1900-01-01 23:15:47,doggo,https://pbs.twimg.com/media/C38Asz1WEAAvzj3.jpg,Bedlington_terrier,2554,13864,23,Night
283,827933404142436356,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Kona. Yesterday she stopped by the department to see what it takes to be a police pupper. / vest was only a smidge too big ,nan,nan,,"https://twitter.com/dog_rates/status/827933404142436356/photo/1,https://twitter.com/dog_rates/status/827933404142436356/photo/1,https://twitter.com/dog_rates/status/827933404142436356/photo/1",12,10,Kona,2017-02-04 00:00:00,1900-01-01 17:34:40,pupper,https://pbs.twimg.com/media/C31pCN4UcAAOLNH.jpg,German_shepherd,5987,22180,17,Afternoon
288,826958653328592898,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Loki. He smiles like Elvis. Ain't nothin but a hound doggo. / ,nan,nan,,https://twitter.com/dog_rates/status/826958653328592898/photo/1,12,10,Loki,2017-02-02 00:00:00,1900-01-01 01:01:21,doggo,https://pbs.twimg.com/media/C3nygbBWQAAjwcW.jpg,golden_retriever,5757,23767,1,Night
289,826848821049180160,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cupid. He was found in the trash. Now he's well on his way to prosthetic front legs and a long happy doggo life. / heroic af ,nan,nan,,"https://twitter.com/dog_rates/status/826848821049180160/photo/1,https://twitter.com/dog_rates/status/826848821049180160/photo/1,https://twitter.com/dog_rates/status/826848821049180160/photo/1,https://twitter.com/dog_rates/status/826848821049180160/photo/1",13,10,Cupid,2017-02-01 00:00:00,1900-01-01 17:44:55,doggo,https://pbs.twimg.com/media/C3mOnZ_XUAAjr2V.jpg,Great_Pyrenees,11878,40325,17,Afternoon
291,826476773533745153,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Pilot. He has mastered the synchronized head tilt and sneaky tongue slip. Usually not unlocked until later doggo days. / ,nan,nan,,https://twitter.com/dog_rates/status/826476773533745153/photo/1,12,10,Pilot,2017-01-31 00:00:00,1900-01-01 17:06:32,doggo,https://pbs.twimg.com/media/C3g8M0lWIAEcFgn.jpg,German_shepherd,4821,20275,17,Afternoon
293,826204788643753985,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Here's a little more info on Dew, your favorite roaming doggo that went h*ckin viral. / 
 ",nan,nan,,"http://us.blastingnews.com/news/2017/01/kentucky-teen-helps-lost-yellow-labrador-and-gets-a-huge-surprise-001431969.html?sbdht=_pM1QUzk3wsenGU1giO7UnJ5NGGiKRW9AD5xs2MkaDpYY13JxbtKE4w2_,https://twitter.com/dog_rates/status/826204788643753985/photo/1,https://twitter.com/dog_rates/status/826204788643753985/photo/1,https://twitter.com/dog_rates/status/826204788643753985/photo/1,https://twitter.com/dog_rates/status/826204788643753985/photo/1",13,10,None,2017-01-30 00:00:00,1900-01-01 23:05:46,doggo,https://pbs.twimg.com/media/C3dEza1WcAAhlNU.jpg,Labrador_retriever,1075,5361,23,Night
297,825535076884762624,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a very loving and accepting puppo. Appears to have read her Constitution well. / would pat head approvingly ,nan,nan,,https://twitter.com/dog_rates/status/825535076884762624/photo/1,14,10,None,2017-01-29 00:00:00,1900-01-01 02:44:34,puppo,https://pbs.twimg.com/media/C3TjvitXAAAI-QH.jpg,Rottweiler,19669,56413,2,Night
